Date,AAPL,ADBE,AMZN,CSCO,DIS,GOOGL,JPM,KO,META,MRK,MSFT,NFLX,NKE,NVDA,PFE,PYPL,T,TSLA,UNH,V
2020-01-02,72.53852081298828,334.42999267578125,94.90049743652344,40.68891525268555,145.76991271972656,67.96524047851562,119.57337188720703,46.066410064697266,208.49468994140625,73.24811553955078,152.79112243652344,329.80999755859375,94.8751449584961,5.971409797668457,28.447664260864258,110.75,19.206357955932617,28.68400001525879,267.0263977050781,183.54905700683594
2020-01-03,71.83328247070312,331.80999755859375,93.74849700927734,40.02505111694336,144.0977783203125,67.60968017578125,117.99542999267578,45.81509017944336,207.39149475097656,72.619384765625,150.8886260986328,325.8999938964844,94.61521911621094,5.875831604003906,28.295032501220703,108.76000213623047,19.305206298828125,29.534000396728516,264.32415771484375,182.0893096923828
2020-01-06,72.40568542480469,333.7099914550781,95.14399719238281,40.167903900146484,143.26171875,69.4117660522461,117.90160369873047,45.79833221435547,211.29742431640625,72.92976379394531,151.2786102294922,335.8299865722656,94.53166961669922,5.900473117828369,28.25869369506836,110.16999816894531,19.32497787475586,30.1026668548584,266.1591491699219,181.69554138183594
2020-01-07,72.06513977050781,333.3900146484375,95.34300231933594,39.90740203857422,143.31089782714844,69.2776870727539,115.89720153808594,45.44649124145508,211.75457763671875,70.98793029785156,149.89932250976562,330.75,94.48524475097656,5.9719085693359375,28.164203643798828,109.66999816894531,19.39911460876465,31.270666122436523,264.5523681640625,181.21536254882812
2020-01-08,73.22440338134766,337.8699951171875,94.59850311279297,39.9326057434082,143.01580810546875,69.77078247070312,116.8012924194336,45.5302619934082,213.9013671875,70.51045989990234,152.2869415283203,339.260009765625,94.27174377441406,5.983109474182129,28.389522552490234,111.81999969482422,19.45842170715332,32.80933380126953,270.1303405761719,184.31736755371094
2020-01-09,74.77976989746094,340.45001220703125,95.05249786376953,39.76454162597656,142.45516967773438,70.50322723388672,117.22782135009766,46.359615325927734,216.96250915527344,71.13117980957031,154.189453125,335.6600036621094,94.2067642211914,6.0488176345825195,28.265960693359375,112.56999969482422,19.518022537231445,32.089332580566406,268.5965576171875,185.59471130371094
2020-01-10,74.94881439208984,339.80999755859375,94.15799713134766,39.60487747192383,142.24859619140625,70.9585952758789,116.05928039550781,46.5187873840332,216.72398376464844,71.2505874633789,153.47601318359375,329.04998779296875,93.66831970214844,6.081175804138184,28.702049255371094,112.93000030517578,19.40232276916504,31.876667022705078,269.4273376464844,186.0940704345703
2020-01-13,76.550048828125,345.6300048828125,94.56500244140625,40.31075668334961,141.520751953125,71.50830841064453,117.02307891845703,47.02141571044922,220.5503692626953,71.23464965820312,155.32147216796875,338.9200134277344,94.8380126953125,6.271836757659912,28.643911361694336,115.27999877929688,19.165895462036133,34.990665435791016,260.95550537109375,187.5923309326172
2020-01-14,75.5163803100586,344.6300048828125,93.47200012207031,40.159507751464844,142.81910705566406,71.03954315185547,118.38777160644531,46.91250991821289,217.7178192138672,71.56889343261719,154.22752380371094,338.69000244140625,95.54354858398438,6.154852867126465,29.123605728149414,114.63999938964844,19.16086196899414,35.861331939697266,263.1373596191406,188.2837677001953
2020-01-15,75.1927490234375,342.94000244140625,93.10099792480469,40.3443717956543,141.9535369873047,71.46707916259766,116.6136703491211,47.4989128112793,219.79502868652344,72.85018157958984,155.2263641357422,339.07000732421875,95.42285919189453,6.112288951873779,29.5596923828125,114.8499984741211,19.05019760131836,34.56666564941406,270.5959167480469,191.88523864746094
2020-01-16,76.13465118408203,345.3800048828125,93.89700317382812,41.218318939208984,142.74041748046875,72.0113296508789,117.06572723388672,47.59943771362305,220.41122436523438,72.56368255615234,158.07066345214844,338.6199951171875,95.96129608154297,6.195920467376709,29.51608657836914,115.4000015258789,19.13068199157715,34.232666015625,274.5488586425781,192.9896697998047
2020-01-17,76.9775161743164,349.739990234375,93.23600006103516,41.193115234375,141.96336364746094,73.46926879882812,117.87601470947266,47.699981689453125,220.77896118164062,72.39656829833984,158.95529174804688,339.6700134277344,97.03815460205078,6.204631805419922,29.44340705871582,116.04000091552734,19.306747436523438,34.03333282470703,272.47650146484375,196.59115600585938
2020-01-21,76.45585632324219,350.0,94.5999984741211,41.008235931396484,141.20599365234375,73.60485076904297,116.71601104736328,47.89265060424805,220.083251953125,71.6007308959961,158.38453674316406,338.1099853515625,97.08456420898438,6.17127799987793,29.319847106933594,116.1500015258789,19.377172470092773,36.47999954223633,274.3570556640625,199.0785369873047
2020-01-22,76.7287826538086,350.05999755859375,94.37300109863281,41.235130310058594,141.64862060546875,73.68529510498047,116.57952880859375,48.26123809814453,219.96397399902344,71.34606170654297,157.62350463867188,326.0,97.0009994506836,6.225289821624756,29.21082878112793,115.5,19.638755798339844,37.97066879272461,274.411865234375,199.66433715820312
2020-01-23,77.0982894897461,351.760009765625,94.22899627685547,41.17630386352539,139.8682861328125,73.72599792480469,116.46013641357422,48.4455451965332,218.4135284423828,70.47862243652344,158.59378051757812,349.6000061035156,95.63636779785156,6.293738842010498,29.588762283325195,117.88999938964844,19.43250846862793,38.14666748046875,273.3802490234375,198.3390350341797
2020-01-24,76.87608337402344,351.3699951171875,93.08200073242188,41.050254821777344,137.78306579589844,72.80635833740234,113.56867218017578,48.31988525390625,216.60470581054688,68.42535400390625,156.99569702148438,353.1600036621094,94.71733093261719,6.234498977661133,28.941904067993164,116.9800033569336,19.36711311340332,37.654666900634766,267.3094177246094,196.87924194335938
