Date,AAPL,ABT,ADBE,AMGN,AMZN,BA,BKNG,BLK,BMY,CAT,COST,CRM,CSCO,CVX,DHR,DIS,FIS,GE,GILD,GOOGL,HON,IBM,INTC,JPM,KO,LIN,LMT,MCD,MDT,META,MMM,MRK,MSFT,NFLX,NKE,NVDA,ORCL,PEP,PFE,PYPL,QCOM,SAP,SBUX,SPGI,T,TSLA,TXN,UNH,V,WMT,ZTS
2001-01-25,489708800,10707709,10328400,21418100,141328000,3684000,587983,140000,12237635,3517600,7484700,,65082100,8396200,5559135,5866295,,4342696,19331200,,5387523,5211277,45890400,8347100,7486800,2312800,4272100,20823700,3660300,,5051904,7649562,85657400,,8836800,440016000,60995500,5997200,15541652,,31479800,457700,19751200,1663400,9648385,,10686000,8775200,,27171000,
2001-01-26,482820800,7637098,5026800,8616100,101892000,2300200,306717,29500,6275209,3094400,5766900,,43833300,4139800,2292452,9084947,,5604351,27078400,,6076553,9513579,48063700,7967800,6394600,1293200,4126500,9631400,2764900,,3535376,5546330,93080000,,6229600,259248000,46538900,4612700,15126903,,57665400,493500,22613600,1024200,7113587,,12559800,4901600,,15692700,
2001-01-29,855528800,4866330,10978400,7110300,154260000,2364700,451967,74000,6101009,2439600,5208000,,12188100,3165000,1928230,5214901,,4804904,32451200,,3267254,5360750,49092800,9494400,5123000,2055800,1589700,8501700,2211700,,3678178,4289988,84983800,,4100800,354168000,33397000,3283100,10846714,,34226200,232700,46998400,1230800,7484837,,14015600,4058800,,15342600,
2001-01-30,692423200,6004889,13083800,7095600,245466000,3703800,543900,63400,5551405,4675200,3954100,,74652700,2629600,1641971,4832337,,4140503,16272000,,4731743,8621132,60806400,9452800,5507600,3460200,1254900,5582200,1933900,,5531739,3846579,57276800,,6959200,243720000,42788300,4041500,10107333,,22811800,331800,18477600,1436400,5460308,,10951500,8954000,,15372600,
2001-01-31,730704800,6800610,38108400,8907000,409516000,3614900,660333,42000,8381900,3889000,9318900,,83891100,3285200,4423027,5115560,,4454122,19267200,,4752617,8696653,71894200,13130800,8614000,1473200,1515500,7850300,3011100,,4877049,6249958,81898800,,7408000,358344000,46144400,5223500,13749641,,22513800,544400,31927200,1420600,7229437,,10300900,7565600,,32544300,
2001-02-01,369695200,4897740,23636600,7745300,189374000,4105500,202333,120700,7323039,2737600,6449600,,46785200,2901000,2740587,5894881,,3669719,23692800,,2730421,5837517,50297000,9174100,6720800,2111400,2446500,6946800,3639100,,4526382,5279300,71792800,,10366400,371856000,38389200,4880300,10053790,,22344000,197400,20617600,1249800,9426218,,7234300,8748000,,31155900,
2001-02-02,427341600,4615941,10865000,5902300,242022000,2121700,229417,65800,6030509,2387400,6157500,,57600300,2958000,4910441,5300558,,3347044,22012800,,3649687,5678106,47151200,7075200,6059400,1223600,2566800,5769700,2621400,,3975743,4449808,71100000,,5003200,320520000,38655400,5717500,10441029,,44556200,514500,23588000,1079400,11159466,,7070500,18066800,,15195000,
2001-02-05,286115200,5031623,8620800,6981100,183796000,2188100,200200,50500,3566066,1823000,5229800,,65876100,3338200,2577520,6053827,,4558641,25974400,,3692902,5348930,39185100,5273700,9183600,1404400,2046900,4410000,2865300,,3935558,3141380,51399200,,5487200,367584000,35933100,5261000,11992307,,21904200,513000,16599200,1269000,8810955,,10462800,9640000,,16812600,
2001-02-06,462711200,8109808,13664200,8051600,381518000,2367000,276633,35000,2947854,2298200,5585600,,91451300,6619000,2566213,9262240,,3330789,27116800,,2963489,7872614,40329200,7560200,6257000,1458200,1055600,6791300,2975600,,3684398,3771123,96442000,,8448000,250440000,28746300,4030300,16404983,,16467400,647500,27388000,1761800,5857244,,7402900,9046400,,16182000,
2001-02-07,393887200,6346835,16924200,8272900,151358000,2182900,138317,76500,4567877,1773800,4313200,,279312700,4463600,1358093,8180233,,2719097,30108800,,2319353,9421217,53148000,7988800,9615600,1286600,1871500,6112900,5853800,,3353106,8175238,126061800,,10194400,720384000,42854400,6422400,20149318,,28307600,480900,14171200,1571800,6063258,,15091600,9883200,,14785200,
